Last update : 16MAY2025,OTST_RFND_SRCH_CRIT_1ADT_2LEG_Muenchen_Hannover,OTST_RFND_SRCH_CRIT_2ADT_2LEG,OTST_RFND_SRCH_CRIT_2ADT_1CHD_2LEG,OTST_RFND_SRCH_CRIT_1ADT_2LEG_Amsterdam_Hannover,OTST_RFND_TRIP_SPEC_2ADT_2LEG
01. POST Get Offer,"Correct admissions returned (expected: 2, actual: 1)
Only 1 admissionOfferPart instead of 2 returned",,,,
03. POST Create a Booking,"The following passenger fields must not be empty: First name, Last name, Phone field",,,,
04. GET Passenger,,,,,
05. PATCH Passenger,,,,,
06. GET Passenger after Patch Passenger,,,,,
07. GET Booking before Fulfillments,,,,,
08. POST Obtaining Fulfillments from Booking,,,,,
09. GET Booking after Fulfillments,,,,,
10. POST Refund Offer,,,,,
11. GET Refund Offer,,,,,
12. Get Booking before Patch Refund,,,,,
13. PATCH Refund Offer,,,,,
14. GET Booking after Patch Refund,,,,,
15. DEL Refund Offers,,,,,
16. GET Booking after Delete Refund,,,,,
